"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1858","Пользователь может отслеживать состояние своих учетных записей","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCanSeeTrackingOfTheirAccounts"
"","3029","Пользователь не может отслеживать статус чужих аккаунтов","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCanSeeTrackingOfOtherAccounts"
"","189","adminCanNotCreateUserWithInvalidData(String, String, String, String, String) [2] username=ab, password=Password33$, role=USER, errorKey=username, errorValue=Username must be between 3 and 15 characters","","2026-07-19","passed","2026-07-19","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","1727","Пользователь не может переводить отрицательные суммы и суммы больше 10000 [1] sum=10001, error=Transfer amount cannot exceed 10000","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCantTransferMoneyFromOneAccountToAnotherWithNotCorrectSum"
"","657","Пользователь не может переводить деньги на не существующий счет","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCantCreateDepositOnNonExistAccount"
"","2766","Пользователь не может создать депозит с суммой более 5000 за раз и меньше 0 [1] deposit=5001, error=Deposit amount cannot exceed 5000","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCantCreateDepositWithNotValidSum"
"","0","Пользователь не может менять  password вместе с name","","2026-07-19","skipped","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirPassword"
"","1925","Пользователь может видеть информацию о своем профиле","","2026-07-19","passed","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCanSeeInfoAboutTheirProfile"
"","143","adminCanGenerateAuthTokenTest()","","2026-07-19","passed","2026-07-19","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","137","adminCanNotCreateUserWithInvalidData(String, String, String, String, String) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValue=Username cannot be blank","","2026-07-19","passed","2026-07-19","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","1057","Пользователь может создать депозит с суммой не более 5000 за раз и больше 0 [2] deposit=5000","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidSum"
"","2280","adminCanGenerateAuthTokenTest()","","2026-07-19","passed","2026-07-19","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","0","Пользователь не может менять  password вместе с name","","2026-07-19","skipped","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirPassword"
"","4693","Пользователь может делать депозит","","2026-07-19","failed","2026-07-19","","Тесты на проверку возможности создания Депозита UI","iteration_2.ui.CreateDepositTestUI","userCanCreateDeposit"
"","4123","Пользователь не может переводить деньги на не существующий счет","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCantCreateDepositOnNonExistAccount"
